Point,Corner,Iinput,mc_iteration,temperature,Pass/Fail,Z2
66,mc_40,440e-9,16,-40,,24.67e-9
67,mc150,440e-9,17,150,,25.27e-9
67,mc_40,440e-9,17,-40,,21.99e-9
68,mc150,440e-9,18,150,,17.25e-9
68,mc_40,440e-9,18,-40,,15.1e-9
69,mc150,440e-9,19,150,,25.9e-9
69,mc_40,440e-9,19,-40,,22.92e-9
70,mc150,440e-9,20,150,,24.34e-9
70,mc_40,440e-9,20,-40,,20.4e-9
71,mc150,440e-9,21,150,,26.12e-9
71,mc_40,440e-9,21,-40,,23.03e-9
72,mc150,440e-9,22,150,,14.72e-9
72,mc_40,440e-9,22,-40,,14.22e-9
73,mc150,440e-9,23,150,,24.93e-9
73,mc_40,440e-9,23,-40,,21.74e-9
74,mc150,440e-9,24,150,,29.23e-9
74,mc_40,440e-9,24,-40,,25.97e-9
75,mc150,440e-9,25,150,,26.99e-9
75,mc_40,440e-9,25,-40,,23.77e-9
76,mc150,440e-9,26,150,,18.74e-9
76,mc_40,440e-9,26,-40,,16.96e-9
77,mc150,440e-9,27,150,,25.91e-9
77,mc_40,440e-9,27,-40,,22.42e-9
78,mc150,440e-9,28,150,,28.85e-9
78,mc_40,440e-9,28,-40,,25.91e-9
79,mc150,440e-9,29,150,,26.29e-9
79,mc_40,440e-9,29,-40,,22.8e-9
80,mc150,440e-9,30,150,,18.66e-9
80,mc_40,440e-9,30,-40,,16.12e-9
81,mc150,440e-9,31,150,,26.53e-9
81,mc_40,440e-9,31,-40,,23.47e-9
82,mc150,440e-9,32,150,,21.36e-9
82,mc_40,440e-9,32,-40,,18.58e-9
83,mc150,440e-9,33,150,,30.59e-9
83,mc_40,440e-9,33,-40,,27.45e-9
84,mc150,440e-9,34,150,,29.23e-9
84,mc_40,440e-9,34,-40,,26.28e-9
85,mc150,440e-9,35,150,,21.5e-9
85,mc_40,440e-9,35,-40,,18.58e-9
86,mc150,440e-9,36,150,,20.71e-9
86,mc_40,440e-9,36,-40,,18.36e-9
87,mc150,440e-9,37,150,,22.7e-9
87,mc_40,440e-9,37,-40,,19.26e-9
88,mc150,440e-9,38,150,,22.97e-9
88,mc_40,440e-9,38,-40,,19.84e-9
89,mc150,440e-9,39,150,,24.28e-9
89,mc_40,440e-9,39,-40,,21.7e-9
90,mc150,440e-9,40,150,,22.3e-9
90,mc_40,440e-9,40,-40,,19.36e-9
91,mc150,440e-9,41,150,,25.05e-9
91,mc_40,440e-9,41,-40,,22.57e-9
92,mc150,440e-9,42,150,,22.92e-9
92,mc_40,440e-9,42,-40,,19.83e-9
93,mc150,440e-9,43,150,,23.57e-9
93,mc_40,440e-9,43,-40,,21.15e-9
94,mc150,440e-9,44,150,,21.61e-9
94,mc_40,440e-9,44,-40,,18.71e-9
95,mc150,440e-9,45,150,,29.58e-9
95,mc_40,440e-9,45,-40,,26.46e-9
96,mc150,440e-9,46,150,,30.39e-9
96,mc_40,440e-9,46,-40,,27.22e-9
97,mc150,440e-9,47,150,,21.08e-9
97,mc_40,440e-9,47,-40,,18.28e-9
98,mc150,440e-9,48,150,,27.36e-9
98,mc_40,440e-9,48,-40,,24.55e-9
99,mc150,440e-9,49,150,,18.92e-9
99,mc_40,440e-9,49,-40,,16.83e-9
100,mc150,440e-9,50,150,,23.7e-9
100,mc_40,440e-9,50,-40,,20.78e-9
101,mc150,840e-9,1,150,,39.57e-9
101,mc_40,840e-9,1,-40,,36.87e-9
102,mc150,840e-9,2,150,,33.62e-9
