In Nom,Out Nom,In SS,Out SS,In SF,Out SF,In FS,Out FS,In FF,Out FF
0.00000002,1504427.18808236,0.00000002,2774095.60395353,0.00000002,2605740.53171887,0.00000002,1462836.46779067,0.0000002955556,29149111.4527858
0.0000002955556,32792042.6431241,0.0000002955556,44377418.7848654,0.0000002955556,41593063.8520301,0.0000002955556,33122944.5805499,0.0000005711111,75984830.3477797
0.0000005711111,74979882.6971672,0.0000005711111,89128628.1438338,0.0000005711111,86896188.1837802,0.0000005711111,77026102.9136843,0.0000008466667,133995547.627543
0.0000008466667,124969120.482953,0.0000008466667,136735969.268184,0.0000008466667,139426094.315028,0.0000008466667,129438200.79483,0.000001122222,199649033.193162
0.000001122222,180441537.574906,0.000001122222,186039963.704625,0.000001122222,200000499.317823,0.000001122222,187169203.502988,0.000001397778,270725598.008543
0.000001397778,240435534.82706,0.000001397778,236237166.300363,0.000001397778,271872727.736299,0.000001397778,248732151.396772,0.000001673333,346420711.819224
0.000001673333,304880961.365147,0.000001673333,287000111.053294,0.000001673333,359975995.441184,0.000001673333,312978640.225701,0.000001948889,426614497.247053
0.000001948889,375047131.051888,0.000001948889,338136147.513125,0.000001948889,469086089.033145,0.000001948889,379919245.435508,0.000002224444,512560204.419514
0.000002224444,452887331.400308,0.000002224444,389887272.284948,0.000002224444,591209935.74807,0.000002224444,449975488.330126,0.0000025,606139713.39625
0.0000025,541783838.431235,0.0000025,442195722.557781,0.0000025,703835285.884461,0.0000025,524064407.584972,  ,  
