Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,Delay
77,C1,601e-3,77,150,,,eval err
78,C0,601e-3,78,-40,,,eval err
78,C1,601e-3,78,150,,,eval err
79,C0,601e-3,79,-40,,,eval err
79,C1,601e-3,79,150,,,eval err
80,C0,601e-3,80,-40,,,eval err
80,C1,601e-3,80,150,,,eval err
81,C0,601e-3,81,-40,,,eval err
81,C1,601e-3,81,150,,,eval err
82,C0,601e-3,82,-40,,,eval err
82,C1,601e-3,82,150,,,eval err
83,C0,601e-3,83,-40,,,eval err
83,C1,601e-3,83,150,,,eval err
84,C0,601e-3,84,-40,,,eval err
84,C1,601e-3,84,150,,,eval err
85,C0,601e-3,85,-40,,,eval err
85,C1,601e-3,85,150,,,eval err
86,C0,601e-3,86,-40,,,eval err
86,C1,601e-3,86,150,,,eval err
87,C0,601e-3,87,-40,,,eval err
87,C1,601e-3,87,150,,,eval err
88,C0,601e-3,88,-40,,,eval err
88,C1,601e-3,88,150,,,eval err
89,C0,601e-3,89,-40,,,eval err
89,C1,601e-3,89,150,,,eval err
90,C0,601e-3,90,-40,,,eval err
90,C1,601e-3,90,150,,,eval err
91,C0,601e-3,91,-40,,,eval err
91,C1,601e-3,91,150,,,eval err
92,C0,601e-3,92,-40,,,eval err
92,C1,601e-3,92,150,,,eval err
93,C0,601e-3,93,-40,,,eval err
93,C1,601e-3,93,150,,,eval err
94,C0,601e-3,94,-40,,,eval err
94,C1,601e-3,94,150,,,eval err
95,C0,601e-3,95,-40,,,eval err
95,C1,601e-3,95,150,,,eval err
96,C0,601e-3,96,-40,,,eval err
96,C1,601e-3,96,150,,,eval err
97,C0,601e-3,97,-40,,,eval err
97,C1,601e-3,97,150,,,eval err
98,C0,601e-3,98,-40,,,eval err
98,C1,601e-3,98,150,,,eval err
99,C0,601e-3,99,-40,,,eval err
99,C1,601e-3,99,150,,,eval err
100,C0,601e-3,100,-40,,,eval err
100,C1,601e-3,100,150,,,eval err
101,C0,604e-3,1,-40,,,605.1e-12
101,C1,604e-3,1,150,,,642.5e-12
102,C0,604e-3,2,-40,,,681.1e-12
102,C1,604e-3,2,150,,,670.1e-12
103,C0,604e-3,3,-40,,,835.5e-12
103,C1,604e-3,3,150,,,901.8e-12
104,C0,604e-3,4,-40,,,639.6e-12
104,C1,604e-3,4,150,,,608.3e-12
105,C0,604e-3,5,-40,,,783.3e-12
105,C1,604e-3,5,150,,,845.8e-12
106,C0,604e-3,6,-40,,,602.5e-12
106,C1,604e-3,6,150,,,575.2e-12
107,C0,604e-3,7,-40,,,569.5e-12
107,C1,604e-3,7,150,,,eval err
108,C0,604e-3,8,-40,,,615.3e-12
108,C1,604e-3,8,150,,,565.4e-12
109,C0,604e-3,9,-40,,,781.4e-12
109,C1,604e-3,9,150,,,839e-12
110,C0,604e-3,10,-40,,,779.5e-12
110,C1,604e-3,10,150,,,822.7e-12
111,C0,604e-3,11,-40,,,813.7e-12
111,C1,604e-3,11,150,,,863.9e-12
112,C0,604e-3,12,-40,,,681.4e-12
112,C1,604e-3,12,150,,,682.5e-12
113,C0,604e-3,13,-40,,,501.1e-12
113,C1,604e-3,13,150,,,571.2e-12
114,C0,604e-3,14,-40,,,670.5e-12
114,C1,604e-3,14,150,,,653.5e-12
115,C0,604e-3,15,-40,,,797.2e-12
115,C1,604e-3,15,150,,,863.5e-12
116,C0,604e-3,16,-40,,,547.9e-12
116,C1,604e-3,16,150,,,534.3e-12
117,C0,604e-3,17,-40,,,767.8e-12
117,C1,604e-3,17,150,,,803.8e-12
118,C0,604e-3,18,-40,,,729e-12
118,C1,604e-3,18,150,,,742.7e-12
119,C0,604e-3,19,-40,,,690.2e-12
119,C1,604e-3,19,150,,,711.6e-12
120,C0,604e-3,20,-40,,,800.9e-12
120,C1,604e-3,20,150,,,830.5e-12
121,C0,604e-3,21,-40,,,662e-12
121,C1,604e-3,21,150,,,654.9e-12
122,C0,604e-3,22,-40,,,814.7e-12
122,C1,604e-3,22,150,,,905.6e-12
123,C0,604e-3,23,-40,,,728.3e-12
123,C1,604e-3,23,150,,,745.6e-12
124,C0,604e-3,24,-40,,,810e-12
124,C1,604e-3,24,150,,,888.8e-12
125,C0,604e-3,25,-40,,,656.4e-12
125,C1,604e-3,25,150,,,641.2e-12
126,C0,604e-3,26,-40,,,751.7e-12
