Iin,Code
1.79E-06,98
1.80E-06,98
1.80E-06,99
1.81E-06,99
1.81E-06,99
1.82E-06,99
1.82E-06,100
1.83E-06,100
1.83E-06,100
1.84E-06,100
1.84E-06,100
1.85E-06,101
1.85E-06,101
1.86E-06,101
1.86E-06,101
1.87E-06,101
1.87E-06,102
1.88E-06,102
1.88E-06,102
1.89E-06,102
1.89E-06,103
1.90E-06,103
1.90E-06,103
1.91E-06,103
1.91E-06,103
1.92E-06,104
1.92E-06,104
1.93E-06,104
1.93E-06,104
1.94E-06,105
1.94E-06,105
1.95E-06,105
1.95E-06,105
1.96E-06,105
1.96E-06,106
1.97E-06,106
1.97E-06,106
1.98E-06,106
1.98E-06,106
1.99E-06,107
1.99E-06,107
2.00E-06,107
2.00E-06,107
2.01E-06,108
2.01E-06,108
2.02E-06,108
2.02E-06,108
2.03E-06,108
2.03E-06,109
2.04E-06,109
2.04E-06,109
2.05E-06,109
2.05E-06,110
2.06E-06,110
2.06E-06,110
2.07E-06,110
2.07E-06,110
2.08E-06,111
2.08E-06,111
2.09E-06,111
2.09E-06,111
2.10E-06,111
2.10E-06,112
2.11E-06,112
2.11E-06,112
2.12E-06,112
2.12E-06,112
2.13E-06,113
2.13E-06,113
2.14E-06,113
2.14E-06,113
2.15E-06,113
2.15E-06,114
2.16E-06,114
2.16E-06,114
2.17E-06,114
2.17E-06,115
2.18E-06,115
2.18E-06,115
2.19E-06,115
2.19E-06,115
2.20E-06,116
2.20E-06,116
2.21E-06,116
2.21E-06,116
2.22E-06,116
2.22E-06,117
2.23E-06,117
2.23E-06,117
2.24E-06,117
2.24E-06,117
2.25E-06,118
2.25E-06,118
2.26E-06,118
2.26E-06,118
2.27E-06,118
2.27E-06,119
2.28E-06,119
2.28E-06,119
2.29E-06,119
2.29E-06,119
2.30E-06,120
2.30E-06,120
2.31E-06,120
2.31E-06,120
2.32E-06,121
2.32E-06,121
2.33E-06,121
2.33E-06,121
2.34E-06,121
2.34E-06,122
2.35E-06,122
2.35E-06,122
2.36E-06,122
2.36E-06,122
2.37E-06,123
2.37E-06,123
2.38E-06,123
2.38E-06,123
2.39E-06,123
2.39E-06,124
2.40E-06,124
2.40E-06,124
2.41E-06,124
2.41E-06,124
2.42E-06,125
2.42E-06,125
2.43E-06,125
2.43E-06,125
2.44E-06,125
2.44E-06,126
2.45E-06,126
2.45E-06,126
2.46E-06,126
2.46E-06,126
2.47E-06,127
2.47E-06,127
2.48E-06,127
2.48E-06,127
2.49E-06,127
2.49E-06,127
2.50E-06,127
2.50E-06,127
