Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
57,MC150,100e-3,57,150,,,88.41e-12
58,MC40,100e-3,58,-40,,,675.1e-12
58,MC150,100e-3,58,150,,,648.5e-12
59,MC40,100e-3,59,-40,,,84.64e-12
59,MC150,100e-3,59,150,,,89.06e-12
60,MC40,100e-3,60,-40,,,740.7e-12
60,MC150,100e-3,60,150,,,597.1e-12
61,MC40,143.3e-3,1,-40,,,1.907e-9
61,MC150,143.3e-3,1,150,,,1.937e-9
62,MC40,143.3e-3,2,-40,,,1.777e-9
62,MC150,143.3e-3,2,150,,,1.873e-9
63,MC40,143.3e-3,3,-40,,,1.502e-9
63,MC150,143.3e-3,3,150,,,1.494e-9
64,MC40,143.3e-3,4,-40,,,1.842e-9
64,MC150,143.3e-3,4,150,,,1.937e-9
65,MC40,143.3e-3,5,-40,,,1.599e-9
65,MC150,143.3e-3,5,150,,,1.62e-9
66,MC40,143.3e-3,6,-40,,,1.778e-9
66,MC150,143.3e-3,6,150,,,1.896e-9
67,MC40,143.3e-3,7,-40,,,2.025e-9
67,MC150,143.3e-3,7,150,,,2.1e-9
68,MC40,143.3e-3,8,-40,,,1.879e-9
68,MC150,143.3e-3,8,150,,,1.972e-9
69,MC40,143.3e-3,9,-40,,,1.613e-9
69,MC150,143.3e-3,9,150,,,1.651e-9
70,MC40,143.3e-3,10,-40,,,1.699e-9
70,MC150,143.3e-3,10,150,,,1.72e-9
71,MC40,143.3e-3,11,-40,,,1.46e-9
71,MC150,143.3e-3,11,150,,,1.544e-9
72,MC40,143.3e-3,12,-40,,,1.713e-9
72,MC150,143.3e-3,12,150,,,1.833e-9
73,MC40,143.3e-3,13,-40,,,1.979e-9
73,MC150,143.3e-3,13,150,,,1.99e-9
74,MC40,143.3e-3,14,-40,,,1.797e-9
74,MC150,143.3e-3,14,150,,,1.897e-9
75,MC40,143.3e-3,15,-40,,,1.566e-9
75,MC150,143.3e-3,15,150,,,1.572e-9
76,MC40,143.3e-3,16,-40,,,1.949e-9
76,MC150,143.3e-3,16,150,,,2e-9
77,MC40,143.3e-3,17,-40,,,1.661e-9
77,MC150,143.3e-3,17,150,,,1.715e-9
78,MC40,143.3e-3,18,-40,,,1.585e-9
78,MC150,143.3e-3,18,150,,,1.724e-9
79,MC40,143.3e-3,19,-40,,,1.782e-9
79,MC150,143.3e-3,19,150,,,1.847e-9
80,MC40,143.3e-3,20,-40,,,1.574e-9
80,MC150,143.3e-3,20,150,,,1.646e-9
81,MC40,143.3e-3,21,-40,,,1.836e-9
81,MC150,143.3e-3,21,150,,,1.917e-9
82,MC40,143.3e-3,22,-40,,,1.355e-9
82,MC150,143.3e-3,22,150,,,1.399e-9
83,MC40,143.3e-3,23,-40,,,1.723e-9
83,MC150,143.3e-3,23,150,,,1.797e-9
84,MC40,143.3e-3,24,-40,,,1.617e-9
84,MC150,143.3e-3,24,150,,,1.544e-9
85,MC40,143.3e-3,25,-40,,,1.858e-9
85,MC150,143.3e-3,25,150,,,1.939e-9
86,MC40,143.3e-3,26,-40,,,1.533e-9
86,MC150,143.3e-3,26,150,,,1.593e-9
87,MC40,143.3e-3,27,-40,,,1.721e-9
87,MC150,143.3e-3,27,150,,,1.8e-9
88,MC40,143.3e-3,28,-40,,,1.992e-9
88,MC150,143.3e-3,28,150,,,2.047e-9
89,MC40,143.3e-3,29,-40,,,1.668e-9
89,MC150,143.3e-3,29,150,,,1.722e-9
90,MC40,143.3e-3,30,-40,,,1.619e-9
90,MC150,143.3e-3,30,150,,,1.75e-9
91,MC40,143.3e-3,31,-40,,,1.801e-9
91,MC150,143.3e-3,31,150,,,1.866e-9
92,MC40,143.3e-3,32,-40,,,1.567e-9
92,MC150,143.3e-3,32,150,,,1.642e-9
93,MC40,143.3e-3,33,-40,,,1.752e-9
93,MC150,143.3e-3,33,150,,,1.745e-9
94,MC40,143.3e-3,34,-40,,,1.938e-9
94,MC150,143.3e-3,34,150,,,1.979e-9
95,MC40,143.3e-3,35,-40,,,1.698e-9
95,MC150,143.3e-3,35,150,,,1.813e-9
96,MC40,143.3e-3,36,-40,,,1.412e-9
96,MC150,143.3e-3,36,150,,,1.39e-9
97,MC40,143.3e-3,37,-40,,,1.729e-9
97,MC150,143.3e-3,37,150,,,1.85e-9
98,MC40,143.3e-3,38,-40,,,1.622e-9
98,MC150,143.3e-3,38,150,,,1.7e-9
99,MC40,143.3e-3,39,-40,,,1.888e-9
99,MC150,143.3e-3,39,150,,,1.972e-9
100,MC40,143.3e-3,40,-40,,,1.502e-9
100,MC150,143.3e-3,40,150,,,1.53e-9
101,MC40,143.3e-3,41,-40,,,1.786e-9
101,MC150,143.3e-3,41,150,,,1.838e-9
102,MC40,143.3e-3,42,-40,,,1.657e-9
102,MC150,143.3e-3,42,150,,,1.743e-9
103,MC40,143.3e-3,43,-40,,,1.961e-9
103,MC150,143.3e-3,43,150,,,2.041e-9
104,MC40,143.3e-3,44,-40,,,1.598e-9
104,MC150,143.3e-3,44,150,,,1.688e-9
105,MC40,143.3e-3,45,-40,,,1.788e-9
105,MC150,143.3e-3,45,150,,,1.809e-9
106,MC40,143.3e-3,46,-40,,,1.998e-9
106,MC150,143.3e-3,46,150,,,2.047e-9
