Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,Delay
62,C1,604e-3,62,150,,1.359e-9
63,C0,604e-3,63,-40,,1.111e-9
63,C1,604e-3,63,150,,eval err
64,C0,604e-3,64,-40,,1.349e-9
64,C1,604e-3,64,150,,1.48e-9
65,C0,604e-3,65,-40,,1.25e-9
65,C1,604e-3,65,150,,1.343e-9
66,C0,604e-3,66,-40,,1.266e-9
66,C1,604e-3,66,150,,1.388e-9
67,C0,604e-3,67,-40,,1.243e-9
67,C1,604e-3,67,150,,1.308e-9
68,C0,604e-3,68,-40,,1.281e-9
68,C1,604e-3,68,150,,1.415e-9
69,C0,604e-3,69,-40,,1.252e-9
69,C1,604e-3,69,150,,1.328e-9
70,C0,604e-3,70,-40,,1.178e-9
70,C1,604e-3,70,150,,1.145e-9
71,C0,610e-3,1,-40,,1.617e-9
71,C1,610e-3,1,150,,1.726e-9
72,C0,610e-3,2,-40,,1.57e-9
72,C1,610e-3,2,150,,1.681e-9
73,C0,610e-3,3,-40,,1.627e-9
73,C1,610e-3,3,150,,1.764e-9
74,C0,610e-3,4,-40,,1.599e-9
74,C1,610e-3,4,150,,1.707e-9
75,C0,610e-3,5,-40,,1.647e-9
75,C1,610e-3,5,150,,1.78e-9
76,C0,610e-3,6,-40,,1.574e-9
76,C1,610e-3,6,150,,1.704e-9
77,C0,610e-3,7,-40,,1.601e-9
77,C1,610e-3,7,150,,1.688e-9
78,C0,610e-3,8,-40,,1.639e-9
78,C1,610e-3,8,150,,1.744e-9
79,C0,610e-3,9,-40,,1.611e-9
79,C1,610e-3,9,150,,1.741e-9
80,C0,610e-3,10,-40,,1.634e-9
80,C1,610e-3,10,150,,1.745e-9
81,C0,610e-3,11,-40,,1.603e-9
81,C1,610e-3,11,150,,1.746e-9
82,C0,610e-3,12,-40,,1.623e-9
82,C1,610e-3,12,150,,1.75e-9
83,C0,610e-3,13,-40,,1.583e-9
83,C1,610e-3,13,150,,1.692e-9
84,C0,610e-3,14,-40,,1.607e-9
84,C1,610e-3,14,150,,1.718e-9
85,C0,610e-3,15,-40,,1.592e-9
85,C1,610e-3,15,150,,1.729e-9
86,C0,610e-3,16,-40,,1.574e-9
86,C1,610e-3,16,150,,1.682e-9
87,C0,610e-3,17,-40,,1.626e-9
87,C1,610e-3,17,150,,1.748e-9
88,C0,610e-3,18,-40,,1.603e-9
88,C1,610e-3,18,150,,1.744e-9
89,C0,610e-3,19,-40,,1.639e-9
89,C1,610e-3,19,150,,1.755e-9
90,C0,610e-3,20,-40,,1.577e-9
90,C1,610e-3,20,150,,1.695e-9
91,C0,610e-3,21,-40,,1.606e-9
91,C1,610e-3,21,150,,1.714e-9
92,C0,610e-3,22,-40,,1.626e-9
92,C1,610e-3,22,150,,1.801e-9
93,C0,610e-3,23,-40,,1.631e-9
93,C1,610e-3,23,150,,1.748e-9
94,C0,610e-3,24,-40,,1.628e-9
94,C1,610e-3,24,150,,1.756e-9
95,C0,610e-3,25,-40,,1.578e-9
95,C1,610e-3,25,150,,1.681e-9
96,C0,610e-3,26,-40,,1.642e-9
96,C1,610e-3,26,150,,1.8e-9
97,C0,610e-3,27,-40,,1.602e-9
97,C1,610e-3,27,150,,1.714e-9
98,C0,610e-3,28,-40,,1.611e-9
98,C1,610e-3,28,150,,1.707e-9
99,C0,610e-3,29,-40,,1.6e-9
99,C1,610e-3,29,150,,1.716e-9
100,C0,610e-3,30,-40,,1.553e-9
100,C1,610e-3,30,150,,1.684e-9
101,C0,610e-3,31,-40,,1.609e-9
101,C1,610e-3,31,150,,1.72e-9
102,C0,610e-3,32,-40,,1.667e-9
102,C1,610e-3,32,150,,1.803e-9
103,C0,610e-3,33,-40,,1.618e-9
103,C1,610e-3,33,150,,1.73e-9
104,C0,610e-3,34,-40,,1.622e-9
104,C1,610e-3,34,150,,1.72e-9
105,C0,610e-3,35,-40,,1.591e-9
105,C1,610e-3,35,150,,1.712e-9
106,C0,610e-3,36,-40,,1.657e-9
106,C1,610e-3,36,150,,1.809e-9
107,C0,610e-3,37,-40,,1.592e-9
107,C1,610e-3,37,150,,1.705e-9
108,C0,610e-3,38,-40,,1.621e-9
108,C1,610e-3,38,150,,1.747e-9
109,C0,610e-3,39,-40,,1.569e-9
109,C1,610e-3,39,150,,1.682e-9
110,C0,610e-3,40,-40,,1.612e-9
110,C1,610e-3,40,150,,1.75e-9
111,C0,610e-3,41,-40,,1.612e-9
111,C1,610e-3,41,150,,1.741e-9
112,C0,610e-3,42,-40,,1.578e-9
112,C1,610e-3,42,150,,1.701e-9
113,C0,610e-3,43,-40,,1.589e-9
113,C1,610e-3,43,150,,1.7e-9
114,C0,610e-3,44,-40,,1.608e-9
114,C1,610e-3,44,150,,1.739e-9
115,C0,610e-3,45,-40,,1.646e-9
115,C1,610e-3,45,150,,1.757e-9
116,C0,610e-3,46,-40,,1.585e-9
116,C1,610e-3,46,150,,1.676e-9
117,C0,610e-3,47,-40,,1.613e-9
117,C1,610e-3,47,150,,1.732e-9
118,C0,610e-3,48,-40,,1.61e-9
118,C1,610e-3,48,150,,1.734e-9
119,C0,610e-3,49,-40,,1.594e-9
119,C1,610e-3,49,150,,1.738e-9
120,C0,610e-3,50,-40,,1.637e-9
120,C1,610e-3,50,150,,1.764e-9
121,C0,610e-3,51,-40,,1.605e-9
121,C1,610e-3,51,150,,1.702e-9
122,C0,610e-3,52,-40,,1.624e-9
122,C1,610e-3,52,150,,1.748e-9
123,C0,610e-3,53,-40,,1.574e-9
123,C1,610e-3,53,150,,1.656e-9
124,C0,610e-3,54,-40,,1.561e-9
124,C1,610e-3,54,150,,1.663e-9
125,C0,610e-3,55,-40,,1.613e-9
125,C1,610e-3,55,150,,1.75e-9
126,C0,610e-3,56,-40,,1.585e-9
126,C1,610e-3,56,150,,1.711e-9
127,C0,610e-3,57,-40,,1.631e-9
127,C1,610e-3,57,150,,1.78e-9
128,C0,610e-3,58,-40,,1.607e-9
128,C1,610e-3,58,150,,1.708e-9
129,C0,610e-3,59,-40,,1.648e-9
129,C1,610e-3,59,150,,1.778e-9
130,C0,610e-3,60,-40,,1.568e-9
130,C1,610e-3,60,150,,1.69e-9
131,C0,610e-3,61,-40,,1.617e-9
131,C1,610e-3,61,150,,1.755e-9
132,C0,610e-3,62,-40,,1.6e-9
132,C1,610e-3,62,150,,1.725e-9
133,C0,610e-3,63,-40,,1.596e-9
133,C1,610e-3,63,150,,1.692e-9
134,C0,610e-3,64,-40,,1.612e-9
134,C1,610e-3,64,150,,1.757e-9
135,C0,610e-3,65,-40,,1.62e-9
135,C1,610e-3,65,150,,1.743e-9
136,C0,610e-3,66,-40,,1.602e-9
136,C1,610e-3,66,150,,1.744e-9
137,C0,610e-3,67,-40,,1.653e-9
137,C1,610e-3,67,150,,1.758e-9
138,C0,610e-3,68,-40,,1.586e-9
138,C1,610e-3,68,150,,1.735e-9
139,C0,610e-3,69,-40,,1.616e-9
139,C1,610e-3,69,150,,1.724e-9
140,C0,610e-3,70,-40,,1.581e-9
140,C1,610e-3,70,150,,1.677e-9
