Point,Corner,i,mc_iteration,Pass/Fail,FREQ,/OUT,"(1 * average(IT(""/R0/PLUS"")))"
1,monte carlo,2.00E-08,1,,3.59E+06,,1.60E-06
2,monte carlo,2.00E-08,2,,3.29E+06,,1.85E-06
3,monte carlo,2.00E-08,3,,3.58E+06,,2.80E-06
4,monte carlo,2.00E-08,4,,3.28E+06,,1.76E-06
5,monte carlo,2.00E-08,5,,3.55E+06,,2.60E-06
6,monte carlo,2.00E-08,6,,3.22E+06,,2.79E-06
7,monte carlo,2.00E-08,7,,3.34E+06,,8.97E-07
8,monte carlo,2.00E-08,8,,3.26E+06,,1.67E-06
9,monte carlo,2.00E-08,9,,3.51E+06,,2.43E-06
10,monte carlo,2.00E-08,10,,3.64E+06,,1.65E-06
11,monte carlo,2.00E-08,11,,3.24E+06,,3.24E-06
12,monte carlo,2.00E-08,12,,3.22E+06,,2.51E-06
13,monte carlo,2.00E-08,13,,3.64E+06,,1.56E-06
14,monte carlo,2.00E-08,14,,3.26E+06,,1.73E-06
15,monte carlo,2.00E-08,15,,3.60E+06,,2.80E-06
16,monte carlo,2.00E-08,16,,3.44E+06,,1.64E-06
17,monte carlo,2.00E-08,17,,3.47E+06,,2.03E-06
18,monte carlo,2.00E-08,18,,2.94E+06,,2.84E-06
19,monte carlo,2.00E-08,19,,3.44E+06,,1.88E-06
20,monte carlo,2.00E-08,20,,3.35E+06,,1.74E-06
21,monte carlo,2.00E-08,21,,3.36E+06,,1.63E-06
22,monte carlo,2.00E-08,22,,3.18E+06,,5.60E-06
23,monte carlo,2.00E-08,23,,3.41E+06,,1.90E-06
24,monte carlo,2.00E-08,24,,3.85E+06,,2.41E-06
25,monte carlo,2.00E-08,25,,3.36E+06,,1.45E-06
26,monte carlo,2.00E-08,26,,3.47E+06,,4.18E-06
27,monte carlo,2.00E-08,27,,3.38E+06,,1.63E-06
28,monte carlo,2.00E-08,28,,3.42E+06,,1.31E-06
29,monte carlo,2.00E-08,29,,3.47E+06,,1.78E-06
30,monte carlo,2.00E-08,30,,2.97E+06,,2.40E-06
31,monte carlo,2.00E-08,31,,3.45E+06,,1.73E-06
32,monte carlo,2.00E-08,32,,3.34E+06,,2.85E-06
33,monte carlo,2.00E-08,33,,3.78E+06,,1.76E-06
34,monte carlo,2.00E-08,34,,3.56E+06,,1.37E-06
35,monte carlo,2.00E-08,35,,3.19E+06,,2.12E-06
36,monte carlo,2.00E-08,36,,3.57E+06,,3.73E-06
37,monte carlo,2.00E-08,37,,3.07E+06,,1.59E-06
38,monte carlo,2.00E-08,38,,3.35E+06,,2.31E-06
39,monte carlo,2.00E-08,39,,3.30E+06,,1.98E-06
40,monte carlo,2.00E-08,40,,3.47E+06,,2.94E-06
41,monte carlo,2.00E-08,41,,3.50E+06,,2.44E-06
42,monte carlo,2.00E-08,42,,3.32E+06,,2.21E-06
43,monte carlo,2.00E-08,43,,3.25E+06,,1.95E-06
44,monte carlo,2.00E-08,44,,3.29E+06,,2.60E-06
45,monte carlo,2.00E-08,45,,3.67E+06,,1.59E-06
46,monte carlo,2.00E-08,46,,3.51E+06,,1.10E-06
47,monte carlo,2.00E-08,47,,3.05E+06,,2.04E-06
48,monte carlo,2.00E-08,48,,3.60E+06,,2.00E-06
49,monte carlo,2.00E-08,49,,3.33E+06,,3.55E-06
50,monte carlo,2.00E-08,50,,3.39E+06,,2.39E-06
51,monte carlo,2.00E-08,51,,3.57E+06,,1.08E-06
52,monte carlo,2.00E-08,52,,3.51E+06,,2.26E-06
53,monte carlo,2.00E-08,53,,3.23E+06,,1.07E-06
54,monte carlo,2.00E-08,54,,3.39E+06,,1.28E-06
55,monte carlo,2.00E-08,55,,3.41E+06,,3.01E-06
56,monte carlo,2.00E-08,56,,3.56E+06,,2.13E-06
57,monte carlo,2.00E-08,57,,3.26E+06,,3.90E-06
58,monte carlo,2.00E-08,58,,3.48E+06,,1.23E-06
59,monte carlo,2.00E-08,59,,3.38E+06,,2.63E-06
60,monte carlo,2.00E-08,60,,3.70E+06,,2.01E-06
61,monte carlo,2.00E-08,61,,3.34E+06,,3.11E-06
62,monte carlo,2.00E-08,62,,3.44E+06,,2.30E-06
63,monte carlo,2.00E-08,63,,2.96E+06,,1.54E-06
64,monte carlo,2.00E-08,64,,3.44E+06,,3.19E-06
65,monte carlo,2.00E-08,65,,3.43E+06,,2.22E-06
66,monte carlo,2.00E-08,66,,3.44E+06,,3.30E-06
67,monte carlo,2.00E-08,67,,3.44E+06,,1.48E-06
68,monte carlo,2.00E-08,68,,3.51E+06,,3.69E-06
69,monte carlo,2.00E-08,69,,3.44E+06,,1.53E-06
70,monte carlo,2.00E-08,70,,3.02E+06,,1.26E-06
71,monte carlo,2.00E-08,71,,3.39E+06,,2.18E-06
72,monte carlo,2.00E-08,72,,3.43E+06,,3.08E-06
73,monte carlo,2.00E-08,73,,3.52E+06,,1.49E-06
74,monte carlo,2.00E-08,74,,3.48E+06,,1.71E-06
75,monte carlo,2.00E-08,75,,3.39E+06,,1.99E-06
76,monte carlo,2.00E-08,76,,3.54E+06,,2.04E-06
77,monte carlo,2.00E-08,77,,3.41E+06,,1.99E-06
78,monte carlo,2.00E-08,78,,3.44E+06,,2.97E-06
79,monte carlo,2.00E-08,79,,3.47E+06,,1.36E-06
80,monte carlo,2.00E-08,80,,3.21E+06,,2.02E-06
81,monte carlo,2.00E-08,81,,3.59E+06,,1.02E-06
82,monte carlo,2.00E-08,82,,3.61E+06,,1.26E-06
83,monte carlo,2.00E-08,83,,3.60E+06,,3.29E-06
84,monte carlo,2.00E-08,84,,3.29E+06,,2.33E-06
85,monte carlo,2.00E-08,85,,3.24E+06,,2.51E-06
86,monte carlo,2.00E-08,86,,3.29E+06,,2.33E-06
87,monte carlo,2.00E-08,87,,3.58E+06,,1.29E-06
88,monte carlo,2.00E-08,88,,3.25E+06,,2.39E-06
89,monte carlo,2.00E-08,89,,3.25E+06,,2.38E-06
90,monte carlo,2.00E-08,90,,3.32E+06,,2.37E-06
91,monte carlo,2.00E-08,91,,3.61E+06,,1.27E-06
92,monte carlo,2.00E-08,92,,3.25E+06,,2.21E-06
93,monte carlo,2.00E-08,93,,3.54E+06,,3.78E-06
94,monte carlo,2.00E-08,94,,3.56E+06,,1.28E-06
95,monte carlo,2.00E-08,95,,3.01E+06,,1.70E-06
96,monte carlo,2.00E-08,96,,3.43E+06,,1.65E-06
97,monte carlo,2.00E-08,97,,2.99E+06,,2.75E-06
98,monte carlo,2.00E-08,98,,3.59E+06,,2.02E-06
99,monte carlo,2.00E-08,99,,3.41E+06,,8.83E-07
100,monte carlo,2.00E-08,100,,3.29E+06,,1.90E-06
101,monte carlo,2.00E-08,101,,3.29E+06,,1.58E-06
102,monte carlo,2.00E-08,102,,3.46E+06,,2.09E-06
103,monte carlo,2.00E-08,103,,3.46E+06,,2.32E-06
104,monte carlo,2.00E-08,104,,3.34E+06,,1.77E-06
105,monte carlo,2.00E-08,105,,3.38E+06,,1.45E-06
106,monte carlo,2.00E-08,106,,3.51E+06,,1.99E-06
107,monte carlo,2.00E-08,107,,3.57E+06,,2.00E-06
108,monte carlo,2.00E-08,108,,3.46E+06,,1.50E-06
109,monte carlo,2.00E-08,109,,3.19E+06,,2.55E-06
110,monte carlo,2.00E-08,110,,3.75E+06,,2.20E-06
111,monte carlo,2.00E-08,111,,3.40E+06,,3.79E-06
112,monte carlo,2.00E-08,112,,3.55E+06,,2.19E-06
113,monte carlo,2.00E-08,113,,3.29E+06,,1.54E-06
114,monte carlo,2.00E-08,114,,3.39E+06,,3.57E-06
115,monte carlo,2.00E-08,115,,3.44E+06,,2.75E-06
116,monte carlo,2.00E-08,116,,3.38E+06,,1.27E-06
117,monte carlo,2.00E-08,117,,3.28E+06,,3.38E-06
118,monte carlo,2.00E-08,118,,3.47E+06,,2.66E-06
119,monte carlo,2.00E-08,119,,3.05E+06,,1.36E-06
120,monte carlo,2.00E-08,120,,3.37E+06,,1.06E-06
121,monte carlo,2.00E-08,121,,3.62E+06,,1.72E-06
122,monte carlo,2.00E-08,122,,3.45E+06,,2.54E-06
123,monte carlo,2.00E-08,123,,3.48E+06,,2.27E-06
124,monte carlo,2.00E-08,124,,3.56E+06,,2.25E-06
125,monte carlo,2.00E-08,125,,3.23E+06,,1.35E-06
126,monte carlo,2.00E-08,126,,3.35E+06,,2.96E-06
127,monte carlo,2.00E-08,127,,3.38E+06,,2.65E-06
128,monte carlo,2.00E-08,128,,3.49E+06,,2.15E-06
129,monte carlo,2.00E-08,129,,3.19E+06,,1.39E-06
130,monte carlo,2.00E-08,130,,3.25E+06,,1.19E-06
131,monte carlo,2.00E-08,131,,3.52E+06,,2.22E-06
132,monte carlo,2.00E-08,132,,3.34E+06,,3.51E-06
133,monte carlo,2.00E-08,133,,3.58E+06,,1.89E-06
134,monte carlo,2.00E-08,134,,3.32E+06,,3.46E-06
135,monte carlo,2.00E-08,135,,3.32E+06,,1.31E-06
136,monte carlo,2.00E-08,136,,3.35E+06,,4.14E-06
137,monte carlo,2.00E-08,137,,3.59E+06,,1.89E-06
138,monte carlo,2.00E-08,138,,3.30E+06,,3.13E-06
139,monte carlo,2.00E-08,139,,3.33E+06,,1.42E-06
140,monte carlo,2.00E-08,140,,3.57E+06,,2.24E-06
141,monte carlo,2.00E-08,141,,3.60E+06,,2.29E-06
142,monte carlo,2.00E-08,142,,3.23E+06,,1.30E-06
143,monte carlo,2.00E-08,143,,3.51E+06,,2.21E-06
144,monte carlo,2.00E-08,144,,3.37E+06,,2.04E-06
145,monte carlo,2.00E-08,145,,3.41E+06,,2.45E-06
146,monte carlo,2.00E-08,146,,3.55E+06,,1.39E-06
147,monte carlo,2.00E-08,147,,3.45E+06,,1.31E-06
148,monte carlo,2.00E-08,148,,3.45E+06,,2.76E-06
149,monte carlo,2.00E-08,149,,3.37E+06,,3.20E-06
150,monte carlo,2.00E-08,150,,3.41E+06,,1.71E-06
151,monte carlo,2.00E-08,151,,3.41E+06,,1.89E-06
152,monte carlo,2.00E-08,152,,3.60E+06,,3.64E-06
153,monte carlo,2.00E-08,153,,3.50E+06,,8.83E-07
154,monte carlo,2.00E-08,154,,3.40E+06,,1.89E-06
155,monte carlo,2.00E-08,155,,3.39E+06,,2.09E-06
156,monte carlo,2.00E-08,156,,3.40E+06,,2.32E-06
157,monte carlo,2.00E-08,157,,3.42E+06,,2.83E-06
158,monte carlo,2.00E-08,158,,3.48E+06,,1.78E-06
159,monte carlo,2.00E-08,159,,3.40E+06,,1.47E-06
160,monte carlo,2.00E-08,160,,3.32E+06,,1.97E-06
161,monte carlo,2.00E-08,161,,3.33E+06,,1.73E-06
162,monte carlo,2.00E-08,162,,3.51E+06,,1.57E-06
163,monte carlo,2.00E-08,163,,3.20E+06,,2.56E-06
164,monte carlo,2.00E-08,164,,3.45E+06,,1.45E-06
165,monte carlo,2.00E-08,165,,3.49E+06,,3.36E-06
166,monte carlo,2.00E-08,166,,3.31E+06,,1.92E-06
167,monte carlo,2.00E-08,167,,3.64E+06,,3.17E-06
168,monte carlo,2.00E-08,168,,3.49E+06,,1.55E-06
169,monte carlo,2.00E-08,169,,2.97E+06,,1.92E-06
170,monte carlo,2.00E-08,170,,3.32E+06,,1.95E-06
171,monte carlo,2.00E-08,171,,3.27E+06,,1.67E-06
172,monte carlo,2.00E-08,172,,3.38E+06,,2.14E-06
173,monte carlo,2.00E-08,173,,3.42E+06,,1.95E-06
174,monte carlo,2.00E-08,174,,3.55E+06,,1.60E-06
175,monte carlo,2.00E-08,175,,3.25E+06,,2.90E-06
176,monte carlo,2.00E-08,176,,3.46E+06,,8.91E-07
177,monte carlo,2.00E-08,177,,3.36E+06,,2.30E-06
178,monte carlo,2.00E-08,178,,3.51E+06,,2.90E-06
179,monte carlo,2.00E-08,179,,3.22E+06,,1.95E-06
180,monte carlo,2.00E-08,180,,3.55E+06,,2.85E-06
181,monte carlo,2.00E-08,181,,3.65E+06,,1.09E-06
182,monte carlo,2.00E-08,182,,3.36E+06,,2.87E-06
183,monte carlo,2.00E-08,183,,3.33E+06,,2.19E-06
184,monte carlo,2.00E-08,184,,3.53E+06,,3.09E-06
185,monte carlo,2.00E-08,185,,3.54E+06,,1.29E-06
186,monte carlo,2.00E-08,186,,3.32E+06,,3.82E-06
187,monte carlo,2.00E-08,187,,3.28E+06,,2.29E-06
188,monte carlo,2.00E-08,188,,3.68E+06,,1.47E-06
189,monte carlo,2.00E-08,189,,3.34E+06,,2.47E-06
190,monte carlo,2.00E-08,190,,3.54E+06,,3.38E-06
191,monte carlo,2.00E-08,191,,3.01E+06,,1.89E-06
192,monte carlo,2.00E-08,192,,3.03E+06,,1.27E-06
193,monte carlo,2.00E-08,193,,3.43E+06,,2.37E-06
194,monte carlo,2.00E-08,194,,3.43E+06,,2.20E-06
195,monte carlo,2.00E-08,195,,3.47E+06,,2.88E-06
196,monte carlo,2.00E-08,196,,3.38E+06,,2.55E-06
197,monte carlo,2.00E-08,197,,3.44E+06,,1.02E-06
198,monte carlo,2.00E-08,198,,3.85E+06,,1.77E-06
199,monte carlo,2.00E-08,199,,3.36E+06,,2.72E-06
200,monte carlo,2.00E-08,200,,3.41E+06,,2.91E-06
201,monte carlo,1.51E-07,1,,2.58E+07,,2.21E-06
202,monte carlo,1.51E-07,2,,2.40E+07,,2.31E-06
203,monte carlo,1.51E-07,3,,2.48E+07,,3.17E-06
204,monte carlo,1.51E-07,4,,2.40E+07,,2.23E-06
205,monte carlo,1.51E-07,5,,2.47E+07,,2.98E-06
206,monte carlo,1.51E-07,6,,2.26E+07,,2.97E-06
207,monte carlo,1.51E-07,7,,2.54E+07,,1.49E-06
208,monte carlo,1.51E-07,8,,2.40E+07,,2.16E-06
209,monte carlo,1.51E-07,9,,2.46E+07,,2.83E-06
210,monte carlo,1.51E-07,10,,2.61E+07,,2.28E-06
211,monte carlo,1.51E-07,11,,2.26E+07,,3.32E-06
212,monte carlo,1.51E-07,12,,2.29E+07,,2.81E-06
213,monte carlo,1.51E-07,13,,2.61E+07,,2.19E-06
214,monte carlo,1.51E-07,14,,2.39E+07,,2.21E-06
215,monte carlo,1.51E-07,15,,2.48E+07,,3.19E-06
216,monte carlo,1.51E-07,16,,2.49E+07,,2.20E-06
217,monte carlo,1.51E-07,17,,2.48E+07,,2.52E-06
218,monte carlo,1.51E-07,18,,2.18E+07,,3.20E-06
219,monte carlo,1.51E-07,19,,2.47E+07,,2.37E-06
220,monte carlo,1.51E-07,20,,2.44E+07,,2.24E-06
221,monte carlo,1.51E-07,21,,2.45E+07,,2.15E-06
222,monte carlo,1.51E-07,22,,2.37E+07,,5.74E-06
223,monte carlo,1.51E-07,23,,2.46E+07,,2.39E-06
224,monte carlo,1.51E-07,24,,2.68E+07,,2.80E-06
225,monte carlo,1.51E-07,25,,2.48E+07,,2.00E-06
226,monte carlo,1.51E-07,26,,2.33E+07,,4.11E-06
227,monte carlo,1.51E-07,27,,2.47E+07,,2.15E-06
228,monte carlo,1.51E-07,28,,2.52E+07,,1.90E-06
229,monte carlo,1.51E-07,29,,2.50E+07,,2.32E-06
230,monte carlo,1.51E-07,30,,2.22E+07,,2.88E-06
231,monte carlo,1.51E-07,31,,2.50E+07,,2.27E-06
232,monte carlo,1.51E-07,32,,2.34E+07,,3.08E-06
233,monte carlo,1.51E-07,33,,2.69E+07,,2.30E-06
234,monte carlo,1.51E-07,34,,2.59E+07,,2.01E-06
235,monte carlo,1.51E-07,35,,2.31E+07,,2.55E-06
236,monte carlo,1.51E-07,36,,2.42E+07,,3.86E-06
237,monte carlo,1.51E-07,37,,2.34E+07,,2.18E-06
238,monte carlo,1.51E-07,38,,2.39E+07,,2.70E-06
239,monte carlo,1.51E-07,39,,2.38E+07,,2.40E-06
240,monte carlo,1.51E-07,40,,2.41E+07,,3.21E-06
241,monte carlo,1.51E-07,41,,2.44E+07,,2.83E-06
242,monte carlo,1.51E-07,42,,2.38E+07,,2.61E-06
243,monte carlo,1.51E-07,43,,2.35E+07,,2.36E-06
244,monte carlo,1.51E-07,44,,2.33E+07,,2.89E-06
245,monte carlo,1.51E-07,45,,2.63E+07,,2.23E-06
246,monte carlo,1.51E-07,46,,2.60E+07,,1.74E-06
247,monte carlo,1.51E-07,47,,2.30E+07,,2.52E-06
248,monte carlo,1.51E-07,48,,2.54E+07,,2.56E-06
249,monte carlo,1.51E-07,49,,2.28E+07,,3.55E-06
250,monte carlo,1.51E-07,50,,2.40E+07,,2.76E-06
251,monte carlo,1.51E-07,51,,2.64E+07,,1.73E-06
252,monte carlo,1.51E-07,52,,2.47E+07,,2.70E-06
253,monte carlo,1.51E-07,53,,2.44E+07,,1.63E-06
254,monte carlo,1.51E-07,54,,2.51E+07,,1.85E-06
255,monte carlo,1.51E-07,55,,2.36E+07,,3.19E-06
256,monte carlo,1.51E-07,56,,2.51E+07,,2.64E-06
257,monte carlo,1.51E-07,57,,2.22E+07,,3.75E-06
258,monte carlo,1.51E-07,58,,2.57E+07,,1.84E-06
259,monte carlo,1.51E-07,59,,2.37E+07,,2.91E-06
260,monte carlo,1.51E-07,60,,2.60E+07,,2.57E-06
261,monte carlo,1.51E-07,61,,2.31E+07,,3.22E-06
262,monte carlo,1.51E-07,62,,2.43E+07,,2.72E-06
263,monte carlo,1.51E-07,63,,2.27E+07,,2.12E-06
264,monte carlo,1.51E-07,64,,2.38E+07,,3.41E-06
265,monte carlo,1.51E-07,65,,2.43E+07,,2.66E-06
266,monte carlo,1.51E-07,66,,2.35E+07,,3.38E-06
267,monte carlo,1.51E-07,67,,2.51E+07,,2.05E-06
268,monte carlo,1.51E-07,68,,2.37E+07,,3.72E-06
269,monte carlo,1.51E-07,69,,2.51E+07,,2.09E-06
270,monte carlo,1.51E-07,70,,2.33E+07,,1.89E-06
271,monte carlo,1.51E-07,71,,2.41E+07,,2.59E-06
272,monte carlo,1.51E-07,72,,2.37E+07,,3.25E-06
273,monte carlo,1.51E-07,73,,2.56E+07,,2.09E-06
274,monte carlo,1.51E-07,74,,2.50E+07,,2.26E-06
275,monte carlo,1.51E-07,75,,2.44E+07,,2.47E-06
276,monte carlo,1.51E-07,76,,2.52E+07,,2.56E-06
277,monte carlo,1.51E-07,77,,2.45E+07,,2.46E-06
278,monte carlo,1.51E-07,78,,2.37E+07,,3.17E-06
279,monte carlo,1.51E-07,79,,2.55E+07,,1.96E-06
280,monte carlo,1.51E-07,80,,2.33E+07,,2.47E-06
281,monte carlo,1.51E-07,81,,2.65E+07,,1.69E-06
282,monte carlo,1.51E-07,82,,2.64E+07,,1.92E-06
283,monte carlo,1.51E-07,83,,2.44E+07,,3.50E-06
284,monte carlo,1.51E-07,84,,2.34E+07,,2.67E-06
285,monte carlo,1.51E-07,85,,2.31E+07,,2.82E-06
286,monte carlo,1.51E-07,86,,2.35E+07,,2.67E-06
287,monte carlo,1.51E-07,87,,2.62E+07,,1.93E-06
288,monte carlo,1.51E-07,88,,2.31E+07,,2.68E-06
289,monte carlo,1.51E-07,89,,2.32E+07,,2.73E-06
290,monte carlo,1.51E-07,90,,2.36E+07,,2.70E-06
291,monte carlo,1.51E-07,91,,2.63E+07,,1.93E-06
292,monte carlo,1.51E-07,92,,2.34E+07,,2.58E-06
293,monte carlo,1.51E-07,93,,2.40E+07,,3.87E-06
294,monte carlo,1.51E-07,94,,2.61E+07,,1.92E-06
295,monte carlo,1.51E-07,95,,2.29E+07,,2.31E-06
296,monte carlo,1.51E-07,96,,2.49E+07,,2.20E-06
297,monte carlo,1.51E-07,97,,2.22E+07,,3.08E-06
298,monte carlo,1.51E-07,98,,2.54E+07,,2.57E-06
299,monte carlo,1.51E-07,99,,2.57E+07,,1.49E-06
300,monte carlo,1.51E-07,100,,2.40E+07,,2.36E-06
301,monte carlo,1.51E-07,101,,2.42E+07,,2.09E-06
302,monte carlo,1.51E-07,102,,2.46E+07,,2.55E-06
303,monte carlo,1.51E-07,103,,2.45E+07,,2.76E-06
304,monte carlo,1.51E-07,104,,2.43E+07,,2.27E-06
305,monte carlo,1.51E-07,105,,2.48E+07,,2.02E-06
306,monte carlo,1.51E-07,106,,2.49E+07,,2.51E-06
307,monte carlo,1.51E-07,107,,2.54E+07,,2.55E-06
308,monte carlo,1.51E-07,108,,2.52E+07,,2.07E-06
309,monte carlo,1.51E-07,109,,2.27E+07,,2.85E-06
310,monte carlo,1.51E-07,110,,2.62E+07,,2.70E-06
311,monte carlo,1.51E-07,111,,2.31E+07,,3.74E-06
312,monte carlo,1.51E-07,112,,2.51E+07,,2.69E-06
313,monte carlo,1.51E-07,113,,2.43E+07,,2.06E-06
314,monte carlo,1.51E-07,114,,2.33E+07,,3.62E-06
315,monte carlo,1.51E-07,115,,2.38E+07,,3.03E-06
316,monte carlo,1.51E-07,116,,2.51E+07,,1.85E-06
317,monte carlo,1.51E-07,117,,2.25E+07,,3.32E-06
318,monte carlo,1.51E-07,118,,2.43E+07,,3.03E-06
319,monte carlo,1.51E-07,119,,2.34E+07,,1.99E-06
320,monte carlo,1.51E-07,120,,2.53E+07,,1.66E-06
321,monte carlo,1.51E-07,121,,2.59E+07,,2.34E-06
322,monte carlo,1.51E-07,122,,2.42E+07,,2.93E-06
323,monte carlo,1.51E-07,123,,2.44E+07,,2.69E-06
324,monte carlo,1.51E-07,124,,2.50E+07,,2.75E-06
325,monte carlo,1.51E-07,125,,2.42E+07,,1.88E-06
326,monte carlo,1.51E-07,126,,2.34E+07,,3.16E-06
327,monte carlo,1.51E-07,127,,2.36E+07,,2.90E-06
328,monte carlo,1.51E-07,128,,2.48E+07,,2.62E-06
329,monte carlo,1.51E-07,129,,2.39E+07,,1.96E-06
330,monte carlo,1.51E-07,130,,2.44E+07,,1.75E-06
331,monte carlo,1.51E-07,131,,2.48E+07,,2.70E-06
332,monte carlo,1.51E-07,132,,2.29E+07,,3.52E-06
333,monte carlo,1.51E-07,133,,2.55E+07,,2.46E-06
334,monte carlo,1.51E-07,134,,2.27E+07,,3.38E-06
335,monte carlo,1.51E-07,135,,2.47E+07,,1.86E-06
336,monte carlo,1.51E-07,136,,2.27E+07,,3.94E-06
337,monte carlo,1.51E-07,137,,2.55E+07,,2.46E-06
338,monte carlo,1.51E-07,138,,2.28E+07,,3.22E-06
339,monte carlo,1.51E-07,139,,2.47E+07,,1.95E-06
340,monte carlo,1.51E-07,140,,2.51E+07,,2.74E-06
341,monte carlo,1.51E-07,141,,2.51E+07,,2.76E-06
342,monte carlo,1.51E-07,142,,2.42E+07,,1.84E-06
343,monte carlo,1.51E-07,143,,2.48E+07,,2.68E-06
344,monte carlo,1.51E-07,144,,2.42E+07,,2.47E-06
345,monte carlo,1.51E-07,145,,2.41E+07,,2.82E-06
346,monte carlo,1.51E-07,146,,2.59E+07,,2.01E-06
347,monte carlo,1.51E-07,147,,2.54E+07,,1.91E-06
348,monte carlo,1.51E-07,148,,2.38E+07,,3.04E-06
349,monte carlo,1.51E-07,149,,2.34E+07,,3.35E-06
350,monte carlo,1.51E-07,150,,2.47E+07,,2.23E-06
351,monte carlo,1.51E-07,151,,2.46E+07,,2.38E-06
352,monte carlo,1.51E-07,152,,2.40E+07,,3.70E-06
353,monte carlo,1.51E-07,153,,2.62E+07,,1.52E-06
354,monte carlo,1.51E-07,154,,2.44E+07,,2.38E-06
355,monte carlo,1.51E-07,155,,2.43E+07,,2.54E-06
356,monte carlo,1.51E-07,156,,2.40E+07,,2.70E-06
357,monte carlo,1.51E-07,157,,2.38E+07,,3.12E-06
358,monte carlo,1.51E-07,158,,2.51E+07,,2.32E-06
359,monte carlo,1.51E-07,159,,2.50E+07,,2.04E-06
360,monte carlo,1.51E-07,160,,2.40E+07,,2.41E-06
361,monte carlo,1.51E-07,161,,2.42E+07,,2.21E-06
362,monte carlo,1.51E-07,162,,2.54E+07,,2.16E-06
363,monte carlo,1.51E-07,163,,2.28E+07,,2.89E-06
364,monte carlo,1.51E-07,164,,2.53E+07,,2.04E-06
365,monte carlo,1.51E-07,165,,2.38E+07,,3.45E-06
366,monte carlo,1.51E-07,166,,2.40E+07,,2.38E-06
367,monte carlo,1.51E-07,167,,2.49E+07,,3.52E-06
368,monte carlo,1.51E-07,168,,2.54E+07,,2.14E-06
369,monte carlo,1.51E-07,169,,2.25E+07,,2.47E-06
370,monte carlo,1.51E-07,170,,2.40E+07,,2.39E-06
371,monte carlo,1.51E-07,171,,2.38E+07,,2.16E-06
372,monte carlo,1.51E-07,172,,2.42E+07,,2.56E-06
373,monte carlo,1.51E-07,173,,2.44E+07,,2.43E-06
374,monte carlo,1.51E-07,174,,2.56E+07,,2.19E-06
375,monte carlo,1.51E-07,175,,2.28E+07,,3.10E-06
376,monte carlo,1.51E-07,176,,2.61E+07,,1.51E-06
377,monte carlo,1.51E-07,177,,2.39E+07,,2.69E-06
378,monte carlo,1.51E-07,178,,2.42E+07,,3.20E-06
379,monte carlo,1.51E-07,179,,2.34E+07,,2.39E-06
380,monte carlo,1.51E-07,180,,2.44E+07,,3.17E-06
381,monte carlo,1.51E-07,181,,2.68E+07,,1.75E-06
382,monte carlo,1.51E-07,182,,2.36E+07,,3.10E-06
383,monte carlo,1.51E-07,183,,2.38E+07,,2.59E-06
384,monte carlo,1.51E-07,184,,2.42E+07,,3.32E-06
385,monte carlo,1.51E-07,185,,2.59E+07,,1.92E-06
386,monte carlo,1.51E-07,186,,2.28E+07,,3.74E-06
387,monte carlo,1.51E-07,187,,2.34E+07,,2.63E-06
388,monte carlo,1.51E-07,188,,2.64E+07,,2.12E-06
389,monte carlo,1.51E-07,189,,2.36E+07,,2.78E-06
390,monte carlo,1.51E-07,190,,2.41E+07,,3.54E-06
391,monte carlo,1.51E-07,191,,2.28E+07,,2.45E-06
392,monte carlo,1.51E-07,192,,2.33E+07,,1.90E-06
393,monte carlo,1.51E-07,193,,2.42E+07,,2.77E-06
394,monte carlo,1.51E-07,194,,2.43E+07,,2.64E-06
395,monte carlo,1.51E-07,195,,2.41E+07,,3.17E-06
396,monte carlo,1.51E-07,196,,2.37E+07,,2.84E-06
397,monte carlo,1.51E-07,197,,2.58E+07,,1.62E-06
398,monte carlo,1.51E-07,198,,2.73E+07,,2.29E-06
399,monte carlo,1.51E-07,199,,2.36E+07,,2.98E-06
400,monte carlo,1.51E-07,200,,2.36E+07,,3.11E-06
401,monte carlo,2.81E-07,1,,4.83E+07,,2.85E-06
402,monte carlo,2.81E-07,2,,4.52E+07,,2.92E-06
403,monte carlo,2.81E-07,3,,4.60E+07,,3.79E-06
404,monte carlo,2.81E-07,4,,4.53E+07,,2.84E-06
405,monte carlo,2.81E-07,5,,4.60E+07,,3.62E-06
406,monte carlo,2.81E-07,6,,4.24E+07,,3.58E-06
407,monte carlo,2.81E-07,7,,4.80E+07,,2.08E-06
408,monte carlo,2.81E-07,8,,4.52E+07,,2.76E-06
409,monte carlo,2.81E-07,9,,4.59E+07,,3.46E-06
410,monte carlo,2.81E-07,10,,4.87E+07,,2.91E-06
411,monte carlo,2.81E-07,11,,4.24E+07,,3.94E-06
412,monte carlo,2.81E-07,12,,4.30E+07,,3.41E-06
413,monte carlo,2.81E-07,13,,4.87E+07,,2.83E-06
414,monte carlo,2.81E-07,14,,4.52E+07,,2.80E-06
415,monte carlo,2.81E-07,15,,4.62E+07,,3.79E-06
416,monte carlo,2.81E-07,16,,4.69E+07,,2.81E-06
417,monte carlo,2.81E-07,17,,4.65E+07,,3.14E-06
418,monte carlo,2.81E-07,18,,4.11E+07,,3.77E-06
419,monte carlo,2.81E-07,19,,4.64E+07,,3.01E-06
420,monte carlo,2.81E-07,20,,4.61E+07,,2.84E-06
421,monte carlo,2.81E-07,21,,4.62E+07,,2.76E-06
422,monte carlo,2.81E-07,22,,4.17E+07,,5.97E-06
